Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.8170731707317,74.119512195122,74.6219512195122,74.8731707317073,74.8707317073171,74.8682926829268,75.2170731707317,75.619512195122,76.2219512195122,73.3756097560976,72.2780487804878,74.7658536585366,77.4658536585366,..
Armenia,ARM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,18.884,17.511,16.576,17.498,18.261,17.617,17.704,10.589,9.794,8.055,8.418,8.262,8.298,..
Aruba,ABW,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.31629742195208,0.627471992893336,-2.37206524252255,0.421440918881169,0.474763597342611,-0.931195987079601,-1.02828178762003,3.62604141352957,4.25746204335427,..,..,..,..,..
Aruba,ABW,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,36435.5553328221,35530.2600441558,37255.3534520324,36275.6809553371,35682.3002526702,36021.8308363445,38558.0045581753,39419.5557032263,38435.4266171966,28521.6888517757,35696.3093722926,38877.6744362842,40516.8085633136,..
Aruba,ABW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,42.94,42.957,42.99,43.041,43.108,43.192,43.293,43.411,43.546,43.697,43.866,44.052,44.254,44.474
Aruba,ABW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,37.8648109436035,38.8641815185547,17.1258697509766,17.7518997192383,16.7312393188477,17.1416206359863,..,..,..,..,..,..,..,14.0655418559377
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.578,74.841,75.072,75.261,75.405,75.54,75.62,75.88,76.019,75.406,73.655,76.226,76.353,..
Aruba,ABW,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,8.9,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.30385015608741,1.76278015613196,2.44988864142539,2.48792270531401,1.5083667216592,1.2769909449733,1.94864740944521,1.91140094445694,1.6107678729038,0.846905537459283,2.86391042204996,6.59409671341846,5.59701492537313,3.16161428305747
Australia,AUS,Gini index,SI.POV.GINI,..,..,..,34.4,..,33.7,..,34.3,..,33.8,..,..,..,..
Australia,AUS,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,53112.5328692855,54237.5919075866,54699.3516156156,55288.1153378005,55691.6988499962,56341.5181616503,56684.6473338143,57450.3810363952,57837.0606876407,57059.7436441324,58182.3369477501,59883.6470356073,60461.1563966999,60082.005786975
Australia,AUS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,85.3,85.402,85.502,85.602,85.701,85.8,85.904,86.012,86.124,86.241,86.362,86.488,86.617,86.75
Australia,AUS,"School enrollment, tertiary (% gross)",SE.TER.ENRR,..,..,..,..,119.679389953613,119.682777404785,109.993309020996,103.322090148926,109.759559631348,110.139221191406,112.688293457031,106.240760803223,104.64835357666,..
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.8951219512195,82.0463414634146,82.1487804878049,82.3,82.4,82.4487804878049,82.5,82.7487804878049,82.9,83.2,83.3,83.2,83.0512195121951,..
Australia,AUS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.081,5.224,5.662,6.077,6.054,5.714,5.604,5.345,5.143,6.394,5.022,3.728,3.668,3.942
Austria,AUT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.28657914875377,2.48567562177015,2.00015616900599,1.60581182954475,0.896563335260335,0.891591752655315,2.08126911385585,1.99837981429547,1.53089564152644,1.38191063351859,2.7666666666667,8.54686993188449,7.81413417002833,2.93791574279385
Austria,AUT,Gini index,SI.POV.GINI,30.8,30.5,30.8,30.5,30.5,30.8,29.7,30.8,30.2,29.8,30.7,30.9,31.2,..
Austria,AUT,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,61346.9594696188,61451.549099757,60937.2569094954,60919.8407084024,61025.999453964,61647.7794679581,62612.1399337979,63855.7816802723,64688.1438223164,60349.9022781104,62968.9422311892,65661.4521877573,64394.0905152572,63314.4627876454
Austria,AUT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,57.115,57.147,57.336,57.526,57.715,57.905,58.094,58.297,58.515,58.748,58.995,59.256,59.53,59.819
Austria,AUT,"School enrollment, tertiary (% gross)",SE.TER.ENRR,77.2625122070312,79.5471267700195,80.9616012573242,81.0195693969727,82.2563095092773,82.8496932983398,83.8392562866211,85.8698883056641,86.3234329223633,88.7071990966797,93.940071105957,94.5116882324219,91.6818237304688,..
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.9829268292683,80.9365853658537,81.1365853658537,81.490243902439,81.190243902439,81.6414634146342,81.6439024390244,81.6926829268293,81.8951219512195,81.1926829268293,81.190243902439,81.2951219512195,81.5414634146342,..
Austria,AUT,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,4.637,4.909,5.367,5.674,5.802,6.064,5.561,4.933,4.56,5.201,6.459,4.992,5.264,5.161
Azerbaijan,AZE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.8583333333334,1.06621339720303,2.41571745279419,1.37344181533176,4.02768573742726,12.4433748584372,12.9359184187335,2.26854690373999,2.61057182799215,2.75980947008127,6.65029912708779,13.8522590144267,8.78543049849081,2.21217188919901
Azerbaijan,AZE,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,19358.0777872405,19523.3737133182,20398.6461946342,20709.2016245984,20678.7539615582,19822.4105921977,19659.0048511424,19781.8509075611,20101.4919048601,19126.096851651,20111.3756952109,21051.2442384287,21310.7386643822,22072.1058327346
Azerbaijan,AZE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,53.637,53.883,54.145,54.422,54.714,55.021,55.343,55.68,56.031,56.397,56.776,57.17,57.577,57.997
Azerbaijan,AZE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,19.6473062365442,20.4384614704139,21.4404253568261,23.1597349800287,25.4831961094662,27.2368629930846,28.4670565431322,28.9724903670069,32.9221812477847,36.3854742250215,39.0095977224788,41.0017793895325,41.3907560278377,41.3413783372226
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.565,71.08,71.485,71.93,72.349,72.568,72.694,73.016,73.29,70.312,70.999,74.125,74.429,..
Azerbaijan,AZE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.42,5.19,4.97,4.91,4.96,5,5,4.9,5,7.24,6.04,5.65,..,..
"Bahamas, The",BHS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.19878141660322,1.97336755976255,0.722414784530534,1.51375643050832,1.86148302863365,-0.346376929989347,1.51820700736147,2.26586346678732,2.49123527368049,0.0385210980054084,2.90491262928485,5.60540633583038,3.05291578969747,0.409162489083242
"Bahamas, The",BHS,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,32535.5807963368,33667.497605052,32402.8349661434,32712.6613651827,32777.3956082623,32172.229145112,33049.8728038689,33650.2369173321,33202.354578976,26452.525156805,31064.6822166194,34342.7904119831,35221.3102702953,36244.0360489936
